ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
791c6f54-a03e-436f-a113-73c2a1cbe3c5.Kinect,7/12/2018,0.72,1.08,1.49,1.5,0.47,0.37,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.28,0.89,0.78,0.99,0.75,0.99,0.75,0.58,0.32,0.21,0.63,0.67,0.64,0.72,0.73,0.28,0.21,0.64,0.74,0.85,0.89,0.86,0.57,0.81,0.76,0.55,0.52,0.61,0.99,0.42,0.98,0.96,0.73,0.75,0.56,0.66,0.83,0.31,0.23,0.29,0.93
e73bc314-21cd-41ab-9d5f-5a9079f00f11.Kinect,6/5/2018,0.84,0.02,0.7,0.29,0.0,0.55,0.0,0.0,0.0,0.01,0.01,0.11,0.0,0.01,0.0,0.87,0.46,0.71,0.4,0.19,0.44,0.35,0.43,0.52,0.68,0.44,0.65,0.92,0.29,0.44,0.43,0.48,0.46,0.33,0.47,0.35,0.35,0.26,0.3,0.62,0.68,0.54,0.47,0.52,0.64,0.38,0.46,0.67,0.66,0.64,0.54,0.65,0.58,0.31,0.16,0.16,0.08
ec8043fd-c625-4289-8bcc-5a49e3e6a7f8.Kinect,9/10/2018,0.47,1.02,1.24,1.34,0.0,0.01,1.37,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.46,0.97,0.74,0.36,0.95,0.95,0.98,0.86,0.93,0.22,0.56,0.95,0.59,0.58,0.98,0.87,0.95,0.59,0.57,0.47,0.91,0.88,0.88,0.97,0.3,0.33,0.74,0.58,0.46,0.53,0.76,0.44,0.68,0.66,0.64,0.85,0.65,0.58,0.31,0.19,0.25,0.95
b3c2f1e0-1a02-4126-b126-0111394b6a9e.Kinect,9/4/2018,0.77,0.0,1.23,1.41,0.0,0.04,0.01,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.73,0.46,0.56,0.35,0.66,0.16,0.32,0.2,0.58,0.23,0.21,0.69,0.7,0.18,0.17,0.19,0.45,0.21,0.18,0.47,0.4,0.75,0.82,0.39,0.31,0.32,0.55,0.46,0.47,0.3,0.39,0.68,0.67,0.66,0.64,0.55,0.65,0.58,0.31,0.15,0.15,0.03
03c2d19a-3fe4-4d51-8829-f952be7a8be2.Kinect,9/26/2018,0.76,0.53,0.0,0.21,0.02,0.11,0.64,0.16,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.75,0.65,0.65,0.35,0.37,0.42,0.14,0.54,0.83,0.48,0.21,0.64,0.6,0.26,0.42,0.55,0.66,0.21,0.24,0.63,0.76,0.41,0.47,0.81,0.31,0.33,0.55,0.92,0.46,0.98,0.38,0.44,0.68,0.66,0.92,0.79,0.67,0.62,0.6,0.15,0.16,0.3
ac3d3235-ab0b-4578-8d53-2928ea3a0a96.Kinect,7/11/2018,0.78,0.11,1.43,1.5,0.21,0.22,0.01,0.0,0.0,0.02,0.14,0.0,0.0,0.01,0.0,0.8,0.31,0.64,0.83,0.45,0.58,0.24,0.6,0.52,0.83,0.24,0.63,0.19,0.18,0.56,0.61,0.31,0.22,0.18,0.47,0.64,0.57,0.53,0.28,0.87,0.83,0.84,0.21,0.98,0.28,0.38,0.44,0.79,0.84,0.71,0.55,0.72,0.68,0.31,0.4,0.34,0.31
a6d34f9c-589e-4043-947d-2cc15a8a9d9a.Kinect,7/26/2018,0.76,0.52,1.16,0.96,0.68,0.35,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.77,0.28,0.09,0.85,0.81,0.66,0.71,0.63,0.51,0.74,0.37,0.63,0.34,0.43,0.66,0.65,0.28,0.36,0.44,0.55,0.77,0.35,0.25,0.29,0.31,0.33,0.58,0.14,0.92,0.33,0.45,0.45,0.82,0.66,0.65,0.55,0.71,0.77,0.31,0.95,0.97,0.51
29a32aa6-6504-45f3-8106-e40ba6a3d3c9.Kinect,7/16/2018,0.5,1.39,1.15,1.16,0.26,0.0,0.0,0.0,1.04,0.02,0.03,0.0,0.0,0.02,0.0,0.49,0.5,0.41,0.77,0.42,0.76,0.25,0.73,0.72,0.89,0.84,0.63,0.1,0.62,0.76,0.72,0.48,0.84,0.61,0.48,0.96,0.55,0.59,0.28,0.95,0.68,0.92,0.33,0.73,0.31,0.76,0.74,0.75,0.83,0.65,0.56,0.91,0.98,0.65,0.33,0.64,0.69
1f97148a-3faa-4ed3-b605-4a93fe360b00.Kinect,7/11/2018,0.45,1.44,1.4,1.42,0.35,0.14,0.11,0.0,0.92,0.0,0.08,0.0,0.02,0.0,0.0,0.45,0.97,0.92,0.86,0.5,0.72,0.14,0.7,0.53,0.78,0.53,0.63,0.52,0.62,0.73,0.71,0.97,0.53,0.59,0.47,0.95,0.54,0.66,0.64,0.3,0.32,0.84,0.41,0.89,0.94,0.85,0.45,0.67,0.68,0.65,0.55,0.65,0.58,0.73,0.86,0.79,0.76
1d6a69ae-797f-48ed-a331-6528f571c595.Kinect,6/19/2018,0.67,0.0,1.24,1.12,0.02,0.01,0.0,0.0,0.0,0.07,0.95,0.0,0.0,0.0,0.0,0.68,0.28,0.09,0.36,0.49,0.18,0.56,0.19,0.53,0.91,0.21,0.64,0.66,0.19,0.17,0.2,0.29,0.21,0.18,0.82,0.42,0.66,0.63,0.29,0.41,0.31,0.82,0.86,0.94,0.28,0.58,0.45,0.67,0.67,0.64,0.66,0.67,0.76,0.32,0.52,0.57,0.13
