ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
9c21d620-cddb-4146-8e14-256b39f06316.Kinect,7/18/2018,0.75,0.23,1.13,0.36,1.08,0.98,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.02,0.01,0.74,0.28,0.09,0.84,0.61,0.43,0.59,0.4,0.52,0.77,0.71,0.64,0.5,0.62,0.45,0.44,0.28,0.69,0.59,0.7,0.76,0.35,0.25,0.27,0.82,0.66,0.54,0.32,0.63,0.43,0.52,0.45,0.69,0.67,0.64,0.74,0.65,0.87,0.36,0.96,0.93,0.27
38c74cf9-26ba-470c-ac61-55eba34b7f91.Kinect,7/17/2018,0.8,0.0,0.01,0.01,0.0,0.12,0.06,0.01,0.0,0.07,0.9,0.0,0.0,0.01,0.0,0.79,0.28,0.32,0.64,0.74,0.32,0.19,0.2,0.61,0.42,0.22,0.63,0.1,0.19,0.3,0.19,0.29,0.21,0.18,0.87,0.26,0.35,0.25,0.67,0.34,0.41,0.54,0.83,0.68,0.28,0.41,0.44,0.68,0.71,0.93,0.79,0.84,0.63,0.31,0.27,0.3,0.11
d9b3bb7a-ea13-414c-a7c7-0ef68e64067b.Kinect,9/6/2018,0.4,0.0,1.08,0.13,0.0,0.45,0.0,0.0,0.02,0.0,0.0,0.02,1.5,0.02,0.34,0.42,0.29,0.13,0.35,0.31,0.92,0.65,0.95,0.51,0.57,0.92,0.64,0.86,0.94,0.93,0.95,0.28,0.93,0.97,0.57,0.51,0.34,0.47,0.39,0.93,0.92,0.53,0.7,0.46,0.8,0.4,0.72,0.67,0.91,0.66,0.76,0.65,0.61,0.92,0.69,0.71,0.84
652761c4-eaff-4ef1-87aa-57ab5e354813.Kinect,9/11/2018,0.46,1.44,1.49,1.5,1.01,0.55,0.27,0.41,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.47,0.99,0.7,0.5,0.98,0.88,0.94,0.99,0.84,0.9,0.47,0.63,0.45,0.19,0.87,0.99,0.98,0.48,0.2,0.47,0.85,0.96,0.92,0.71,0.71,0.74,0.79,0.79,0.8,0.79,0.66,0.84,0.67,0.68,0.64,0.56,0.65,0.59,0.69,0.64,0.63,0.96
9e6d5682-36d8-4428-95e8-2bc6ad3070f0.Kinect,10/31/2018,0.42,0.01,1.07,0.14,0.0,0.4,0.0,0.01,0.0,0.0,0.01,0.03,1.5,0.0,0.36,0.41,0.28,0.17,0.35,0.33,0.9,0.69,0.9,0.54,0.62,0.9,0.64,0.9,0.91,0.87,0.9,0.28,0.9,0.9,0.64,0.54,0.34,0.45,0.32,0.9,0.96,0.72,0.49,0.49,0.86,0.39,0.6,0.68,0.66,0.79,0.89,0.65,0.58,0.87,1.0,1.0,0.94
c32e82c3-835f-4221-a668-c4e61ceab874.Kinect,10/12/2018,0.81,0.3,1.47,1.5,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.05,0.0,0.0,0.81,0.89,0.63,0.79,0.5,0.16,0.4,0.53,0.61,0.8,0.59,0.78,0.41,0.62,0.18,0.5,0.88,0.61,0.61,0.67,0.76,0.93,0.91,0.57,0.3,0.31,0.56,0.23,0.66,0.54,0.8,0.94,0.67,0.66,0.71,0.55,0.65,0.85,0.31,0.18,0.29,0.42
06cf3faf-1eaa-4fb2-9ace-09ce7a7625e5.Kinect,10/23/2018,0.72,1.06,1.29,1.35,0.0,0.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.74,0.54,0.37,0.78,0.53,0.89,0.3,0.83,0.51,0.16,0.22,0.61,0.1,0.18,0.86,0.85,0.53,0.23,0.18,0.48,0.89,0.47,0.35,0.29,0.39,0.35,0.56,0.21,0.54,0.64,0.5,0.54,0.68,0.66,0.64,0.55,0.65,0.58,0.37,0.33,0.28,0.59
79337de6-b918-45dc-a05a-28c594122d19.Kinect,8/11/2018,0.7,0.0,0.94,1.3,0.21,0.16,0.0,0.01,0.12,0.0,0.01,0.0,0.58,0.02,0.0,0.7,0.28,0.1,0.35,0.19,0.57,0.53,0.64,0.53,0.69,1.0,0.62,0.12,0.91,0.6,0.62,0.28,0.98,0.91,0.62,0.36,0.34,0.25,0.59,0.39,0.32,0.56,0.3,0.94,0.81,0.56,0.44,0.67,0.66,0.7,0.53,0.65,0.59,0.75,0.71,0.58,0.36
47c9f8dc-48c2-4b5e-a418-f9a3aa37e41a.Kinect,9/11/2018,0.83,0.01,1.38,1.33,0.11,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.01,0.0,0.82,0.28,0.79,0.54,0.55,0.51,0.57,0.46,0.53,0.77,0.22,0.64,0.31,0.18,0.51,0.43,0.28,0.21,0.18,0.83,0.59,0.79,0.83,0.41,0.32,0.38,0.55,0.1,0.47,0.29,0.82,0.81,0.95,0.67,0.64,0.56,0.65,0.58,0.32,0.16,0.15,0.34
e7a72a91-c9db-44d0-b2d5-57f2d2538210.Kinect,5/31/2018,0.88,0.0,0.01,1.16,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.88,0.77,0.66,0.35,0.19,0.37,0.14,0.65,0.54,0.51,0.64,0.64,0.1,0.72,0.4,0.65,0.76,0.67,0.71,0.47,0.18,0.55,0.25,0.64,0.47,0.49,0.56,0.09,0.86,0.56,0.59,0.45,0.7,0.87,0.78,0.75,0.65,0.6,0.7,0.68,0.16,0.15
331c1a13-5898-4330-8c86-f2fe819c8d12.Kinect,6/20/2018,0.73,0.0,0.28,0.36,0.03,0.3,0.0,0.02,0.0,0.01,0.95,0.01,0.01,0.0,0.0,0.77,0.35,0.35,0.35,0.75,0.31,0.62,0.21,0.51,0.39,0.34,0.74,0.45,0.3,0.33,0.2,0.36,0.36,0.31,0.47,0.39,0.62,0.6,0.29,0.34,0.37,0.57,0.85,0.46,0.28,0.39,0.72,0.83,0.66,0.64,0.57,0.65,0.59,0.31,0.77,0.76,0.1
c9751b1a-b563-4d3d-9d5e-df6ced7d8eb2.Kinect,6/20/2018,0.61,1.25,0.8,1.23,0.54,0.07,0.0,0.0,0.0,0.0,0.57,0.01,0.0,0.01,0.0,0.58,0.29,0.17,0.6,0.92,0.72,0.15,0.73,0.5,0.18,0.22,0.63,0.58,0.18,0.73,0.72,0.28,0.21,0.18,0.9,0.91,0.36,0.38,0.3,0.31,0.33,0.53,0.11,0.6,0.72,0.72,0.68,0.81,0.66,0.83,0.79,0.65,0.58,0.5,0.73,0.73,0.57
7727cf24-9a53-49da-b187-f11c7be2e57d.Kinect,9/11/2018,0.84,0.01,1.42,1.19,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.0,0.0,0.01,0.0,0.82,0.29,0.56,0.64,0.35,0.47,0.32,0.55,0.65,0.16,0.52,0.87,0.21,0.72,0.48,0.56,0.28,0.53,0.73,0.49,0.19,0.34,0.25,0.57,0.35,0.73,0.55,0.55,0.46,0.29,0.43,0.46,0.68,0.66,0.89,0.9,0.85,0.58,0.31,0.68,0.75,0.19
e5ef20c8-f2d8-4813-b87f-b660fa9a363a.Kinect,10/19/2018,0.62,0.0,1.23,1.31,0.0,0.03,0.0,0.0,0.0,0.0,0.62,1.17,0.0,0.0,0.0,0.65,0.29,0.29,0.91,0.6,0.16,0.14,0.42,0.53,0.84,0.47,0.64,0.48,0.49,0.16,0.4,0.29,0.47,0.51,0.48,0.17,0.35,0.31,0.67,0.66,0.65,0.69,0.75,0.8,0.29,0.38,0.44,0.67,0.7,0.78,0.79,0.84,0.65,0.83,0.92,0.74,0.25
4606de05-2f0c-4c3e-8c47-7bcf7be4f6b8.Kinect,6/8/2018,0.46,0.01,0.32,0.59,0.0,0.37,0.03,0.04,0.0,0.0,0.01,1.5,0.5,0.3,0.26,0.47,0.28,0.46,0.45,0.37,0.29,0.2,0.19,0.53,0.98,0.77,0.64,0.56,0.75,0.26,0.19,0.28,0.77,0.75,0.82,0.39,0.34,0.25,0.73,0.81,0.82,0.95,0.82,0.59,0.96,0.39,0.79,0.68,0.66,0.69,0.71,0.67,0.59,0.54,0.36,0.23,0.17
