ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
a563247a-4b5a-4ec5-8b06-a2240d70d77c.Kinect,9/6/2018,0.43,0.0,1.06,0.14,0.01,0.42,0.0,0.01,0.02,0.0,0.02,0.03,1.49,0.0,0.35,0.4,0.28,0.22,0.35,0.35,0.91,0.64,0.96,0.53,0.53,0.91,0.63,0.91,0.94,0.89,0.95,0.29,0.94,0.94,0.47,0.56,0.36,0.39,0.35,0.88,0.94,0.54,0.5,0.46,0.88,0.38,0.59,0.67,0.8,0.78,0.89,0.65,0.58,0.9,0.63,0.68,0.83
58ed7f5e-a4ae-4d6b-be01-44465fa0ab76.Kinect,9/19/2018,0.52,0.01,1.2,1.11,0.5,1.11,0.01,0.0,0.0,0.0,0.0,1.26,0.49,0.0,0.0,0.52,0.28,0.1,0.35,0.47,0.3,0.14,0.19,0.54,0.82,0.73,0.64,0.68,0.69,0.3,0.19,0.28,0.73,0.68,0.88,0.17,0.57,0.51,0.98,0.52,0.62,0.56,0.98,0.64,0.96,0.38,0.45,0.67,0.86,0.93,0.86,0.81,0.63,0.42,0.97,0.99,0.5
f297016b-c442-4241-9573-3b85ec30bec0.Kinect,6/1/2018,0.78,0.0,0.99,1.09,0.89,0.38,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.79,0.53,0.31,0.62,0.75,0.5,0.58,0.19,0.51,0.64,0.55,0.65,0.63,0.63,0.51,0.21,0.5,0.55,0.64,0.56,0.23,0.53,0.62,0.41,0.29,0.45,0.66,0.91,0.46,0.92,0.47,0.44,0.67,0.72,0.78,0.69,0.65,0.58,0.58,0.37,0.31,0.22
ebb8668a-04c8-4c48-bbd5-2929445ef839.Kinect,8/29/2018,0.68,0.06,1.41,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.68,0.39,0.89,0.35,0.8,0.16,0.77,0.28,0.87,0.24,0.21,0.74,0.26,0.23,0.16,0.3,0.4,0.21,0.22,0.47,0.6,0.93,0.96,0.29,0.29,0.32,0.55,0.21,0.46,0.48,0.53,0.92,0.83,0.67,0.65,0.55,0.65,0.59,0.68,0.15,0.16,0.33
d0ecad4d-1fda-4b67-899e-18d94b4d0e64.Kinect,10/23/2018,0.69,0.66,1.44,1.29,0.01,0.07,0.39,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.7,0.82,0.61,0.56,0.74,0.89,0.15,0.9,0.53,0.16,0.71,0.63,0.64,0.77,0.87,0.88,0.82,0.7,0.74,0.48,0.78,0.65,0.54,0.75,0.44,0.63,0.54,0.59,0.46,0.56,0.38,0.47,0.68,0.67,0.64,0.57,0.65,0.58,0.61,0.34,0.42,0.67
032d73ae-6787-4e6e-ba83-3df8471c7fc6.Kinect,10/12/2018,0.63,1.44,1.38,1.46,0.0,0.03,0.12,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.63,0.78,0.31,0.96,0.75,0.82,0.5,0.88,0.52,0.16,0.21,0.64,0.1,0.28,0.81,0.88,0.77,0.22,0.27,0.48,0.98,0.75,0.7,0.72,0.47,0.53,0.54,0.1,0.47,0.43,0.38,0.92,0.9,0.66,0.64,0.54,0.65,0.58,0.31,0.96,0.95,0.79
fc948cc1-417c-4996-a61a-cb55a5cbe48c.Kinect,6/20/2018,0.81,0.0,1.37,1.33,0.01,0.01,0.01,0.01,0.0,0.01,0.17,0.28,0.0,0.0,0.02,0.8,0.28,0.33,0.35,0.25,0.99,0.79,0.98,0.53,0.94,0.22,0.63,0.28,0.18,0.98,0.99,0.28,0.21,0.19,0.47,0.32,0.35,0.25,0.28,0.32,0.31,0.9,0.22,0.47,0.51,0.58,0.44,0.67,0.75,0.71,0.57,0.87,0.69,0.47,0.57,0.61,0.68
0224a14b-92cb-4ce5-93f1-220b3f7cb80c.Kinect,8/27/2018,0.53,0.07,1.5,1.49,0.0,0.06,0.55,0.01,0.0,0.0,0.92,0.01,0.01,0.01,0.0,0.55,0.78,0.94,0.35,0.82,0.19,0.88,0.25,0.95,0.82,0.41,0.93,0.11,0.56,0.18,0.25,0.78,0.42,0.57,0.47,0.56,0.86,0.93,0.78,0.58,0.54,0.56,0.36,0.46,0.43,0.39,0.85,0.89,0.66,0.65,0.55,0.67,0.58,0.72,0.45,0.57,0.42
2b1f824e-cafa-48b6-941d-f436b543e3be.Kinect,10/18/2018,0.65,1.28,1.02,1.03,0.15,0.98,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.66,0.28,0.74,0.66,0.57,0.81,0.42,0.74,0.5,0.16,0.21,0.63,0.33,0.19,0.79,0.74,0.29,0.21,0.18,0.5,0.93,0.36,0.25,0.29,0.43,0.31,0.56,0.12,0.48,0.28,0.38,0.44,0.68,0.66,0.64,0.54,0.67,0.59,0.31,0.9,0.88,0.52
f970d964-d358-41ba-8d5a-ad63c0819329.Kinect,6/6/2018,0.24,0.62,0.66,1.14,1.09,1.42,1.37,0.15,0.0,0.0,0.03,0.61,0.0,0.0,0.01,0.26,0.7,0.76,0.49,1.0,0.66,0.94,0.45,0.92,0.73,0.72,0.91,0.93,0.77,0.64,0.45,0.73,0.73,0.76,0.47,0.68,0.81,0.89,0.98,0.65,0.74,0.62,0.87,0.59,0.65,0.38,0.97,0.96,0.66,0.65,0.55,0.65,0.59,0.31,0.78,0.83,0.81
