ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
6210cc6d-575d-4e9f-bab1-4fe1da2a30a3.Kinect,7/30/2018,0.4,1.49,1.44,1.41,0.0,0.0,1.09,0.1,0.0,0.01,0.0,0.0,0.4,0.01,0.0,0.39,0.96,0.99,0.49,0.72,0.34,0.14,0.41,0.53,0.75,0.76,0.64,0.55,0.75,0.33,0.41,0.96,0.75,0.74,0.61,0.98,0.95,0.9,0.8,0.41,0.34,0.65,0.6,0.46,0.41,0.67,0.59,0.74,0.67,0.64,0.72,0.66,0.59,0.78,0.69,0.74,0.65
6ab08506-e8dc-4e8e-a036-17c444016ee7.Kinect,7/9/2018,0.84,0.1,1.33,1.38,0.01,0.0,0.0,0.01,0.02,0.07,0.0,0.02,0.02,0.0,0.0,0.83,0.28,0.1,0.57,0.22,0.75,0.23,0.77,0.73,0.23,0.25,0.65,0.77,0.55,0.75,0.75,0.28,0.26,0.55,0.47,0.69,0.59,0.56,0.45,0.6,0.84,0.54,0.5,0.47,0.43,0.57,0.65,0.68,0.66,0.64,0.55,0.69,0.58,0.57,0.16,0.17,0.4
e3664e83-83f5-40ae-bb98-e47cf72ee0b0.Kinect,9/26/2018,0.63,0.13,0.7,0.11,1.29,1.46,0.0,0.03,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.64,0.31,0.21,0.77,0.67,0.2,0.71,0.2,0.52,0.71,0.29,0.65,0.27,0.29,0.2,0.2,0.3,0.3,0.28,0.86,0.67,0.34,0.26,0.29,0.61,0.7,0.78,0.4,0.57,0.54,0.55,0.45,0.67,0.67,0.65,0.56,0.65,0.83,0.31,0.8,0.81,0.07
4bffc5df-bfb8-41bf-b0b5-b44d787aa6ac.Kinect,6/20/2018,0.55,0.2,1.14,0.97,0.38,0.56,0.21,0.0,0.01,0.01,1.01,0.0,0.0,0.0,0.0,0.56,0.31,0.8,0.44,0.66,0.16,0.54,0.3,0.61,0.16,0.39,0.65,0.79,0.38,0.16,0.3,0.32,0.37,0.4,0.74,0.69,0.8,0.77,0.76,0.3,0.31,0.69,0.58,0.47,0.29,0.67,0.7,0.67,0.66,0.64,0.55,0.66,0.59,0.48,0.43,0.45,0.17
73fb0c03-3c28-44ca-a177-e18b8780de45.Kinect,8/13/2018,0.38,0.0,0.07,0.11,0.5,1.07,1.25,1.25,0.0,0.01,0.03,0.0,0.01,0.01,0.0,0.36,0.31,0.17,0.73,0.83,0.17,0.54,0.2,0.93,0.18,0.56,0.62,0.23,0.59,0.16,0.2,0.3,0.57,0.58,0.93,0.17,0.61,0.62,0.96,0.36,0.32,0.76,0.29,0.46,0.29,0.9,0.56,0.68,0.66,0.65,0.55,0.66,0.58,0.55,0.25,0.27,0.34
7b5c2e0b-9723-4cf1-b1c8-6cb3451be075.Kinect,9/19/2018,0.84,0.0,1.0,1.43,0.01,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.86,0.5,0.11,0.36,0.2,0.34,0.54,0.84,0.53,0.29,0.22,0.66,0.1,0.72,0.33,0.85,0.5,0.21,0.72,0.51,0.18,0.35,0.25,0.55,0.81,0.66,0.53,0.09,0.55,0.64,0.38,0.44,0.67,0.66,0.65,0.55,0.65,0.83,0.84,0.74,0.2,0.23
98575d38-4355-4f29-8292-26d7abe6c4b7.Kinect,8/24/2018,0.01,0.03,1.4,1.05,0.01,0.43,0.0,0.0,0.0,0.01,0.02,0.0,1.49,1.14,1.25,0.03,0.61,0.41,0.94,0.19,0.99,0.79,0.98,0.89,0.65,0.79,0.82,0.27,0.85,0.97,0.99,0.59,0.79,0.86,0.47,0.63,0.34,0.28,0.83,0.96,0.96,0.54,0.59,0.74,0.68,0.38,0.56,0.67,0.79,0.64,0.56,0.65,0.75,0.68,0.19,0.36,0.82
133db2bc-2ea6-41b4-8efe-c3548a5c7d4b.Kinect,10/11/2018,0.41,0.0,1.06,0.14,0.01,0.41,0.0,0.0,0.0,0.0,0.0,0.02,1.5,0.01,0.37,0.43,0.28,0.14,0.36,0.32,0.97,0.66,0.93,0.52,0.57,0.94,0.64,0.86,0.95,0.95,0.92,0.28,0.92,0.97,0.61,0.57,0.34,0.4,0.35,0.87,0.97,0.54,0.23,0.46,0.91,0.39,0.46,0.67,0.66,0.89,0.96,0.82,0.59,0.87,0.68,0.73,0.89
f7fdbe98-9d69-48e2-a0bb-1d26aacd14c2.Kinect,10/19/2018,0.56,0.01,1.37,1.46,0.05,0.01,0.01,0.0,0.0,0.0,0.0,1.4,0.01,0.0,0.0,0.57,0.36,0.11,0.9,0.67,0.17,0.22,0.34,0.51,0.64,0.61,0.63,0.13,0.67,0.16,0.35,0.36,0.61,0.67,0.87,0.16,0.39,0.36,0.88,0.56,0.56,0.64,0.41,0.61,0.46,0.77,0.8,0.67,0.69,0.67,0.54,0.77,0.69,0.62,0.41,0.49,0.17
695536a4-42a4-4aa0-abce-fa9f728fe9a4.Kinect,9/26/2018,0.14,1.31,1.46,1.44,0.44,0.23,1.24,1.41,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.14,0.96,0.91,0.64,0.91,0.86,0.7,0.81,0.98,0.7,0.63,0.75,0.14,0.59,0.84,0.81,0.96,0.64,0.6,0.47,0.92,0.91,0.92,0.94,0.51,0.43,0.63,0.17,0.53,0.28,0.93,0.7,0.67,0.67,0.64,0.57,0.65,0.58,0.31,0.45,0.45,0.93
